id,lang,query,query_zh,proposed_task_type,proposed_skill,difficulty,note,trace_id,day,agent,label_task_type,label_skill,annotator
"Q077","en","Modern minimal resume, single A4 page, ready for print or PDF export. The content for the resume lives in 2026-08-07-resume.md","现代极简简历，单页 A4，可打印或导出 PDF。简历内容在 2026-08-07-resume.md 里。","document","document-resume","easy","","b9a687ef8baee170d000bde87b16a2ebdf38e8b7537c3d75bfd95a359f8b1828","2026-08-09","codex","","",""
"Q078","en","A premium dark-mode property-operations dashboard for short-let apartment operators in Nigeria. Brand: Stayvine - quiet luxury hospitality, near-black background, warm cream text, one elegant accent color. Sidebar navigation: Dashboard, Properties, Bookings, Guests, Payments, Cleaning, Analytics, Team, Settings, Sign o…","为尼日利亚短租公寓运营方做一个高端深色物业运营仪表盘。品牌 Stayvine，安静奢华的酒店风，近黑背景、暖奶油文字、一个优雅的强调色。侧栏导航。","prototype","qiaomu-dashboard","easy","truncated at 320 chars","5f564324a4561e5442c52d826b0625efa3a974e0b1c111ddf4f0e67d1b20354c","2026-08-16","claude","","",""
"Q079","en","I want to create a hisotry/activity panel that tracks all the changes and versions of the content as well as comments. Similar in concept to ClickUp's activty panel. It must show the date and time the change was recorded, it should be interactive and collapsable. I should also be able to collapse the different type of …","我想做一个历史 / 活动面板，跟踪内容的所有更改、版本和评论，概念类似 ClickUp 的活动面板。必须显示更改记录的日期和时间。","prototype","","medium","component-level; truncated at 320 chars","ab99237e-10fb-4e8a-8840-13487b71ce26","2026-08-19","byok-opencode","","",""
"Q080","en","Design slides for a team update","为团队更新设计幻灯片","ppt","","easy","","117e19beefdeadef9c724380c547faa01c5935622f9853d65f0a06337032375d","2026-08-11","antigravity","","",""
"Q081","en","make for me an app for playing fantasy monopoly with dragons, knights and wizards.","给我做一个玩奇幻大富翁的 app，有龙、骑士和巫师。","prototype","mobile-app","medium","game app","b18150241f5ed1da464a5f63e1ef8b9b760b2f62c3475c8a6dccad261c538f1e","2026-08-13","opencode","","",""
"Q082","en","I need to make a presentation deck based on the marketing plan draft ive attatched, and use the brand guidelines in order to make me a presentation deck for the guidelines. go.","我需要根据附上的营销计划草稿做一个演示 deck，并按品牌指南来做。开始吧。","ppt","","easy","","db7fcb50-d2ea-4b1d-a76d-29cac0758a49","2026-08-10","byok-opencode","","",""
"Q083","en","Modern resume, 2-3 A4 pages, ready for print or PDF export.","现代简历，2 到 3 页 A4，可打印或导出 PDF。","document","document-resume","easy","","31ee5a40-5aaf-4862-8b90-66692a4fe513","2026-08-17","codex","","",""
"Q084","en","I want to prepare a slide for a presentation. I can give you all the document and information so that you can have a context on what to do","我想为一个演示准备幻灯片。我可以把所有文档和信息给你，让你有上下文。","ppt","","easy","","ab9cb9c3859f3f0d20b46053c2838acc01b0c342d63c0e6170834d55d3d49dbf","2026-08-07","codex","","",""
"Q085","en","create a design for a biology website","为一个生物学网站做设计","prototype","web-prototype","easy","","5f79a117b236a8936e5d247003008563560ef8263449673f1bb38d4152630fca","2026-08-18","antigravity","","",""
"Q086","en","Create a sample slide deck based on the Design System. Create a collection of slides that can be used as a template. 10 slides","基于设计系统做一套示例幻灯片，做成可复用的模板集，10 页。","ppt","","medium","template deck from design system","a1e44f3554cd47ee9519096a3eccccfc536034d614d6680cce7cf71843ce02ab","2026-08-09","cursor-agent","","",""
"Q087","en","I want you to build a landing page for Edhua — a Mandarin speaking class that boosts your confidence to speak Mandarin with native teachers. It should be utterly world-class: every section, every pixel, every interaction at the level of the best language-learning sites on the internet.","为 Edhua 做一个落地页，这是一个帮你和母语老师练口语、提升自信的中文课程。要做到世界级：每个区块、每个像素、每个交互。","prototype","impeccable-serif-landing","medium","","20477257d8163763eee41f716c5412d0310e3ebd414e05e9804791231f1589f9","2026-08-09","claude","","",""
"Q088","en","A 1970s European editorial poster in motion — a red rule draws across, a giant tilted figure drops in, a three-line headline rises line-by-line, an italic serif standfirst fades.","一张动起来的 1970 年代欧洲编辑海报：一条红线划过，一个倾斜的巨大人物落下，三行标题逐行升起，一行斜体衬线导语淡入。","hyperframes","","medium","poster in motion","56e7d96a-e72f-4b67-af24-b3ac85f16a5b","2026-08-14","opencode","","",""
"Q089","en","Create an industrial-brutalist interface with rigid grids, tactical telemetry motifs, strong typography, and mechanical precision.","做一个工业野兽派界面，刚性网格、战术遥测元素、强排版、机械精度。","prototype","skill-brutalist","easy","","02d92921d6e75d2b8151f21cf211e963aeec28391c71ec0950ec5315de250be0","2026-08-14","byok-opencode","","",""
"Q090","en","Create a polished SaaS landing page using the Linear design system (dark, minimal, indigo-violet accent). Hero with headline + CTA, features grid, pricing section, footer.","用 Linear 设计系统（深色、极简、靛紫强调）做一个精致的 SaaS 落地页。Hero 带标题和 CTA，功能网格，定价区，页脚。","prototype","qiaomu-landing","easy","","3b35c32856d173de5058bbf3ac28863bdb69756e15cd48546161394fa3dd51b9","2026-08-10","hermes","","",""
"Q091","en","design a page to celebrate someone birhtday , the page should focus on a uniqe experience like apotify wrapped cards example. it should have animations,phases e.t.c amybe at the end they have a card they can save as an image where it has the image atha bithday hat at the top right corner of the image and hearftfelt tex…","设计一个庆祝某人生日的页面，重点是独特体验，像 Spotify Wrapped 卡片那样，有动画、阶段等，最后可能有一张能保存为图片的卡片。","prototype","","medium","spotify-wrapped style; truncated at 320 chars","d76264ee99417b7a1353d6c5fe03ea92f008fe891e02345c65ad8bf5b4dcae7e","2026-08-16","claude","","",""
"Q092","en","a pokemon e commerce website retro themed landing page","一个复古主题的宝可梦电商网站落地页","prototype","style-retro-futurism","medium","retro theme","94b33a325c1e0bee9c035fb8f709a5e8560d6d6af20f76e4547f3774017c91d8","2026-08-15","claude","","",""
"Q093","en","Design an Apple-style kinetic typography title and glowing metric ticker with frosted glass cards","设计一个苹果风格的动态字体标题和发光指标滚动条，配毛玻璃卡片。","prototype","style-glassmorphism","medium","","70981fd65e66ec2a03f6187f7f80d168a6a7607398dbc6a5279e686d6ebef184","2026-08-19","byok-opencode","","",""
"Q094","en","A high-density enterprise financial dashboard interface for a travel agency Accounts Tab. Clean white background. A top row with a grid of three KPI cards (Total Revenue, Total Costs, Profit Margin). Below that, a dual-pane layout: on the left, a scrollable timeline of all financial activity with small icons and text; …","旅行社「账户」页的高密度企业财务仪表盘界面。干净白底。顶行三张 KPI 卡（总收入、总成本、利润率），下方双栏布局。","prototype","impeccable-insight-dashboard","easy","truncated at 320 chars","f4caa6b9153fbbbc3b3a25b3ce834574fe44c17ccbbc35b571fdf6fac7aeb752","2026-08-17","antigravity","","",""
"Q095","en","create design for a responsive desktop application - it should be modern, techy and neat. the key idea is that users will be able to sync their claude/codex/opencode/pi settings across their devices, so no need to setup in each device - syncing is optional with an account, it provide ui to make the configurations easy …","为一个响应式桌面应用做设计，要现代、科技感、整洁。核心想法是用户可以跨设备同步 claude/codex/opencode/pi 的设置。","prototype","","easy","desktop app; truncated at 320 chars","c35766ab-1c27-4c1e-9da6-2d347faa895d","2026-08-15","pi","","",""
"Q096","en","Build A SaaS website for Salon Booking","做一个美发沙龙预约的 SaaS 网站","prototype","web-prototype","easy","","38c15cfbcd55fe9368a5deed2aac68d5cad20ef733f9abee6a655fbc05c7c51b","2026-08-17","opencode","","",""
"Q097","en","Generate an image of a dramatic silver dragon perched on a cliff at sunset. Use ONLY the MiniMax media provider with model minimax-image-01 (image-01). Do NOT fall back to fal or any other provider. If MiniMax fails, stop and report the exact error message. Report clearly which provider and model you used and the outco…","生成一张日落时分银龙栖息在悬崖上的戏剧性图片。只用 MiniMax 媒体提供商。","image","","easy","provider pinned; truncated at 320 chars","1efb43c3aa38db6dfa47830e3a27de14436ed165798fc4c8aac66b9db61a1a76","2026-08-11","opencode","","",""
"Q098","en","Create 3 Taskmind Logo for me to choose from","给我做 3 个 Taskmind 的 logo 供选择","image","","easy","","2006fd322afe08a1fb51e751d0fd66de374ddec87ea2c29483dc360a9c560f95","2026-08-12","pi","","",""
"Q099","en","i want tech base portfolio for full stack developer , i do not like الالوان المشعه ابدا ، and i think current design is lack of right color and design , resign it all","我想要一个全栈开发者的技术风作品集，我完全不喜欢刺眼的颜色，现在的设计缺少合适的配色和设计，全部重做。","prototype","qiaomu-portfolio","easy","mixed en/ar","297f39f3-cd1a-4a5c-9ead-aa664989c53d","2026-08-18","claude","","",""
"Q100","en","Create a simple responsive pricing card component in Tailwind CSS.","用 Tailwind CSS 做一个简单的响应式定价卡片组件。","prototype","","medium","single component","13b53d78f596eb205fd19659759977744d22251e76a3438e71631a7a8cd43fc1","2026-08-18","byok-opencode","","",""
